DSA,2017-TX,2016-TX
NA,0,1
ALOB,213,168
AROR,69,86
AZOB,381,305
CADN,447,422
CAGS,120,116
CAOP,618,646
CASD,173,167
CORS,237,222
CTOP,87,63
DCTC,197,162
FLFH,232,228
FLMP,252,214
FLUF,189,222
FLWC,288,310
GALL,353,352
HIOP,55,64
IAOP,83,81
ILIP,476,487
INOP,230,240
KYDA,156,150
LAOP,233,217
MAOB,448,501
MDPC,168,196
MIOP,391,390
MNOP,269,252
MOMA,294,232
MSOP,115,120
MWOB,335,321
NCCM,146,142
NCNC,304,265
NEOR,108,89
NJTO,279,281
NMOP,89,92
NVLV,156,164
NYAP,83,87
NYFL,57,75
NYRT,407,352
NYWN,73,70
OHLB,190,192
OHLC,82,81
OHLP,161,124
OHOV,88,85
OKOP,267,252
ORUO,202,203
PADV,730,655
PATF,307,326
PRLL,88,111
SCOP,247,181
TNDS,386,362
TNMS,94,74
TXGC,516,535
TXSA,277,227
TXSB,513,475
UTOP,162,170
VATB,226,173
WALC,376,333
WIDN,119,118
WIUW,196,202
