DSA,WL-Registrations,WL-Candidates
ALOB,2293,2291
AROR,202,202
AZOB,1910,1907
CADN,8703,8625
CAGS,1328,1328
CAOP,7740,7707
CASD,1816,1814
CORS,1716,1714
CTOP,500,500
DCTC,1910,1874
FLFH,449,449
FLMP,2089,1974
FLUF,1324,1314
FLWC,868,860
GALL,4819,4772
HIOP,360,360
IAOP,568,564
ILIP,3569,3542
INOP,1125,1125
KYDA,774,774
LAOP,1824,1823
MAOB,3881,3849
MDPC,2724,2654
MIOP,2562,2559
MNOP,2710,2683
MOMA,996,996
MSOP,575,575
MWOB,900,899
NCCM,501,501
NCNC,2230,2212
NEOR,208,208
NJTO,2255,2238
NMOP,483,483
NVLV,185,185
NYAP,266,266
NYFL,678,678
NYRT,6742,6680
NYWN,244,244
OHLB,1217,1212
OHLC,158,158
OHLP,436,436
OHOV,347,347
OKOP,486,483
ORUO,673,673
PADV,4571,4505
PATF,2017,2008
PRLL,394,394
SCOP,903,903
TNDS,1860,1852
TNMS,856,856
TXGC,4014,3973
TXSA,2563,2531
TXSB,2922,2884
UTOP,500,500
VATB,1644,1634
WALC,1569,1566
WIDN,830,829
WIUW,986,986
